AN_WILTY_EP15_lie4,deception,male
AN_WILTY_EP15_lie5,deception,male
AN_WILTY_EP15_truth7,truth,male
AN_WILTY_EP15_truth8,truth,female
AN_WILTY_EP15_truth9,truth,female
AN_WILTY_EP15_lie10,deception,male
AN_WILTY_EP15_lie11,deception,male
AN_WILTY_EP15_lie12,deception,male
AN_WILTY_EP15_lie13,deception,male
AN_WILTY_EP15_lie15,deception,male
AN_WILTY_EP15_lie18,deception,male
AN_WILTY_EP15_lie19,deception,male
AN_WILTY_EP15_truth21,truth,male
AN_WILTY_EP15_truth22,truth,male
AN_WILTY_EP16_lie1,deception,male
AN_WILTY_EP16_lie3,deception,male
AN_WILTY_EP16_lie4,deception,male
AN_WILTY_EP16_lie5,deception,male
AN_WILTY_EP16_lie6,deception,male
AN_WILTY_EP16_lie7,deception,male
AN_WILTY_EP16_truth11,truth,male
AN_WILTY_EP16_truth13,truth,male
AN_WILTY_EP16_truth15,truth,male
AN_WILTY_EP16_lie18,deception,male
AN_WILTY_EP16_lie19,deception,male
AN_WILTY_EP16_truth23,truth,male
AN_WILTY_EP16_truth25,truth,male
AN_WILTY_EP17_truth2,truth,male
AN_WILTY_EP17_truth3,truth,male
AN_WILTY_EP17_truth4,truth,male
AN_WILTY_EP17_truth7,truth,male
AN_WILTY_EP17_lie8,deception,male
AN_WILTY_EP17_truth12,truth,male
AN_WILTY_EP17_lie14,deception,male
AN_WILTY_EP17_lie15,deception,male
AN_WILTY_EP17_lie16,deception,male
AN_WILTY_EP17_lie17,deception,male
AN_WILTY_EP17_lie18,deception,male
AN_WILTY_EP17_lie19,deception,male
AN_WILTY_EP18_truth3,truth,female
AN_WILTY_EP18_truth5,truth,female
AN_WILTY_EP18_lie6,deception,male
AN_WILTY_EP18_lie7,deception,male
AN_WILTY_EP18_lie8,deception,male
AN_WILTY_EP18_lie11,deception,male
AN_WILTY_EP18_lie12,deception,male
AN_WILTY_EP18_truth13,truth,male
AN_WILTY_EP18_lie16,deception,female
AN_WILTY_EP18_lie17,deception,female
AN_WILTY_EP18_truth19,truth,male
AN_WILTY_EP18_lie22,deception,male
AN_WILTY_EP18_truth23,truth,male
AN_WILTY_EP19_truth3,truth,male
AN_WILTY_EP19_truth4,truth,male
AN_WILTY_EP19_truth6,truth,male
AN_WILTY_EP19_lie10,deception,male
AN_WILTY_EP19_lie11,deception,male
AN_WILTY_EP19_lie13,deception,male
AN_WILTY_EP19_lie14,deception,male
AN_WILTY_EP19_lie16,deception,male
AN_WILTY_EP19_lie17,deception,male
AN_WILTY_EP19_lie19,deception,male
AN_WILTY_EP19_truth21,truth,female
AN_WILTY_EP20_truth1,truth,female
AN_WILTY_EP20_truth2,truth,female
AN_WILTY_EP20_truth4,truth,female
AN_WILTY_EP20_lie5,deception,male
AN_WILTY_EP20_lie8,deception,male
AN_WILTY_EP20_lie9,deception,male
AN_WILTY_EP20_lie10,deception,male
AN_WILTY_EP20_lie13,deception,male
AN_WILTY_EP20_lie14,deception,male
AN_WILTY_EP21_lie7,deception,male
AN_WILTY_EP21_lie8,deception,male
AN_WILTY_EP21_lie9,deception,female
AN_WILTY_EP21_lie11,deception,male
AN_WILTY_EP21_lie12,deception,female
AN_WILTY_EP21_lie16,deception,male
AN_WILTY_EP21_lie18,deception,male
